Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11770765,18:11:02.30,-4156,-4156,Main,-1.815974,502.933659,0.000000,1.783211,1396.400450,0.000000,100.475959,0.046091,1.386483,25.236664,1.885616,0.733718,34.195476,44.684687
11770766,18:11:02.30,-4155,-4155,Main,-1.815974,502.933659,0.000000,1.783211,1396.400450,0.000000,100.475959,0.046091,1.386483,25.236664,1.885616,0.733718,34.195476,44.943542
11770797,18:11:02.30,-4124,-4124,Main,-4.863542,499.810729,0.000000,-0.763218,1400.058098,0.000000,101.859657,0.153771,1.355036,25.214028,1.877248,0.731418,34.195476,44.943542
11770931,18:11:03.30,-3991,-3991,Main,-1.861460,502.704032,0.000000,0.604309,1394.865141,0.000000,99.784110,-0.046206,1.103464,25.249050,1.881924,0.730728,33.931590,44.941329
11771117,18:11:03.30,-3803,-3803,Main,-2.361807,502.566256,0.000000,1.877523,1396.535919,0.000000,99.507370,-0.007749,1.024847,25.242216,1.880693,0.731035,33.931590,44.684687
11771302,18:11:03.30,-3619,-3619,Main,-2.452779,502.061076,0.000000,-0.244501,1396.987480,0.000000,99.507370,0.076857,0.961954,25.240935,1.885124,0.731418,34.192725,44.943542
11771421,18:11:03.30,-3501,-3501,Main,-1.361113,502.749957,0.000000,2.066148,1396.129513,0.000000,99.092261,-0.053897,1.362898,25.245633,1.885370,0.734562,34.192725,44.684687
11771619,18:11:03.30,-3303,-3303,Main,-3.680904,501.877374,0.000000,-0.527438,1397.213261,0.000000,99.369001,-0.107737,0.993400,25.240508,1.880940,0.731035,33.928774,44.682471
11771791,18:11:03.30,-3129,-3129,Main,-4.317709,501.647747,0.000000,-0.763218,1398.116384,0.000000,100.706575,0.038400,0.726104,25.234956,1.877740,0.730498,34.195476,44.682471
11771926,18:11:04.30,-2995,-2995,Main,-4.681597,500.499611,0.000000,-0.008721,1397.845447,0.000000,101.490671,-0.015440,1.213527,25.216164,1.877986,0.730651,33.928774,44.684687
11771983,18:11:04.30,-2939,-2939,Main,-0.769794,503.806243,0.000000,0.368528,1393.510457,0.000000,99.369001,0.169154,1.182080,25.254175,1.886601,0.733028,34.189961,44.943542
11771987,18:11:04.30,-2935,-2935,Main,-0.769794,503.806243,0.000000,0.368528,1393.510457,0.000000,99.369001,0.169154,1.182080,25.254175,1.886601,0.733028,34.189961,44.943542
11772039,18:11:04.30,-2882,-2882,Main,-3.135071,501.601821,0.000000,0.557153,1396.942324,0.000000,101.582917,0.269143,1.449376,25.215737,1.883401,0.732185,33.928774,44.682471
11772185,18:11:04.30,-2736,-2736,Main,-2.862154,502.520330,0.000000,1.217338,1395.407015,0.000000,99.784110,0.069166,0.938369,25.240935,1.880447,0.731495,34.192725,44.941329
11772187,18:11:04.30,-2734,-2734,Main,-1.133683,502.566256,0.000000,2.632021,1393.736238,0.000000,99.046138,-0.084663,1.001262,25.247341,1.885124,0.732875,34.192725,44.941329
